bikeID,lat,lng
0210027809#,31.336961,121.441531
0210027880#,31.327571,121.495261
0210027919#,31.331926,121.526407
0210028065#,31.388698,121.505982
0210028076#,31.352252,121.449868
0210028176#,31.379274,121.528557
0210028191#,31.350762,121.494667
0210028208#,31.378412,121.457801
0210028298#,31.390982,121.383957
0210028310#,31.35702,121.363137
0210028320#,31.324394,121.46524
0210028370#,31.3809,121.382072
0210028436#,31.318995,121.538686
0210028499#,31.327317,121.364115
0210028607#,31.32852,121.421341
0210028637#,31.357409,121.362833
0210028644#,31.326996,121.365167
0210028690#,31.342545,121.393057
0210028823#,31.334257,121.509972
0210028848#,31.36355,121.411557
0210028850#,31.39516,121.501824
0210028891#,31.327853,121.367436
0210028968#,31.322856,121.395744
0210029035#,31.332245,121.61126
0210029041#,31.379586,121.464797
0210029102#,31.391496,121.512055
0210029133#,31.35116,121.369864
0210029138#,31.382861,121.488547
0210029293#,31.347007,121.395372
0210029370#,31.318263,121.541567
0210029378#,31.356021,121.408743
0210029409#,31.332402,121.394851
0210029412#,31.331886,121.481045
0210029453#,31.369687,121.567705
0210029495#,31.348535,121.349975
0210029520#,31.372943,121.509048
0210029612#,31.326078,121.364069
0210029650#,31.348581,121.58536
0210029717#,31.32853,121.466079
0210029735#,31.330374,121.539629
0210029738#,31.375624,121.39338
0210029746#,31.32845,121.524512
0210029754#,31.339256,121.604661
0210029772#,31.388484,121.357248
0210029799#,31.352914,121.261234
0210029971#,31.389548,121.431691
0210030005#,31.34574,121.479727
0210030008#,31.326037,121.458101
0210030075#,31.394306,121.503192
0210030122#,31.345709,121.567681
0210030123#,31.369522,121.543896
0210030201#,31.385307,121.498524
0210030239#,31.318919,121.541422
0210030268#,31.322037,121.486654
0210030340#,31.358445,121.300398
0210030392#,31.332524,121.44111
0210030400#,31.393274,121.328212
0210030506#,31.341085,121.571102
0210030514#,31.345178,121.512371
0210030641#,31.378214,121.501609
0210030679#,31.370461,121.487609
0210030752#,31.34959,121.498745
0210030790#,31.396707,121.502463
0210030890#,31.393028,121.457629
0210030893#,31.32833,121.384039
0210030928#,31.39384,121.500888
0210030940#,31.319972,121.42877
0210030971#,31.342404,121.470159
0210031087#,31.336289,121.529015
0210031170#,31.330558,121.432867
0210031174#,31.39455,121.50785
0210031232#,31.33925,121.517517
0210031303#,31.333734,121.447207
0210031309#,31.342055,121.41923
0210031331#,31.387568,121.495464
0210031361#,31.391752,121.372987
0210031370#,31.321616,121.4597
0210031403#,31.40421,121.505985
0210031409#,31.320395,121.389242
0210031447#,31.351496,121.4986
0210031571#,31.338522,121.381755
0210031606#,31.396693,121.423572
0210031671#,31.38345,121.379221
0210031690#,31.327633,121.32322
0210031751#,31.364773,121.345561
0210031810#,31.334719,121.531089
0210031885#,31.364831,121.527389
0210031953#,31.337527,121.382616
0210031959#,31.321608,121.601928
0210032057#,31.336452,121.468082
0210032179#,31.368528,121.53902
0210032248#,31.352361,121.451572
0210032285#,31.339413,121.424915
0210032301#,31.327453,121.46355
0210032339#,31.364333,121.475361
0210032415#,31.32527,121.43633
0210032436#,31.36143,121.416027
0210032486#,31.367176,121.48569
0210032495#,31.378895,121.420246
0210032571#,31.329988,121.215395
0210032575#,31.338582,121.292292
0210032593#,31.352352,121.40374
0210032643#,31.355485,121.43361
0210032682#,31.332809,121.396688
0210032745#,31.403222,121.305767
0210032805#,31.394595,121.359863
0210032828#,31.381108,121.362413
0210032836#,31.35037,121.298952
0210032882#,31.34831,121.35881
0210032919#,31.371939,121.225981
0210032947#,31.328407,121.536421
0210032971#,31.321536,121.542252
0210033047#,31.372368,121.436995
0210033049#,31.383063,121.500894
0210033057#,31.352065,121.34005
0210033151#,31.36201,121.398347
0210033160#,31.329834,121.554616
0210033184#,31.378172,121.467191
0210033244#,31.395642,121.393527
0210033328#,31.366929,121.537603
0210033408#,31.33357,121.531247
0210033421#,31.321655,121.537028
0210033460#,31.349816,121.460462
0210033530#,31.33193,121.452542
0210033552#,31.376505,121.226383
0210033620#,31.328939,121.166532
0210033645#,31.342428,121.394075
0210033664#,31.322404,121.373409
0210033666#,31.344497,121.359055
0210033747#,31.3512,121.354203
0210033870#,31.331338,121.537826
0210033892#,31.34136,121.41975
0210033927#,31.348453,121.425129
0210033938#,31.354845,121.379126
0210033986#,31.39585,121.499428
0210034029#,31.354325,121.336066
0210034294#,31.338042,121.489149
0210034311#,31.329732,121.399495
0210034375#,31.355466,121.558527
0210034377#,31.328089,121.543095
0210034387#,31.333962,121.542415
0210034553#,31.373387,121.47303
0210034608#,31.344507,121.37277
0210034737#,31.335502,121.524572
0210034800#,31.38794,121.498086
0210034818#,31.327607,121.428615
0210034824#,31.329872,121.582874
0210034870#,31.373886,121.483726
0210034923#,31.337184,121.45496
0210034928#,31.334942,121.500792
0210035046#,31.319375,121.423775
0210035053#,31.336843,121.441227
0210035101#,31.328978,121.509907
0210035125#,31.321005,121.579555
0210035189#,31.401417,121.172655
0210035229#,31.317991,121.242858
0210035273#,31.339604,121.507996
0210035277#,31.361071,121.469495
